exp,k,setup,val
faithful,1.0,top,0.10710521380012021
faithful,1.0,random,0.007217195207279777
faithful,5.0,top,0.1528148798855303
faithful,5.0,random,0.006930848329830042
poison,0.05,random,0.9522311078317545
poison,0.05,witness,0.9285052041700878
repair,20.0,before,0.9511170911142698
repair,20.0,after,0.9536127779164272
